City Name,Zone Name,Ward Name,Ward No.,Total number of households (HH),HH part of the city sewerage network,Number of Households with toilets,Number of free public toilets - Female,Number of free public toilets - Male,Number of paid public toilets - Female,Number of paid public toilets - Male,Number of Public Toilet 
Indore,Aerodrum Road,Sirpur ,1,5085,4837,5085,2,2,2,2,4
Indore,Dravid Nagar,Chandan Nagar,2,2845,2728,2845,0,0,0,0,0
Indore,Aerodrum Road,Kalani Nagar,3,3737,3509,3737,0,0,0,0,0
Indore,Kila Maidan,Sukhdev Nagar,4,6162,5848,6162,0,0,0,0,0
Indore,Aerodrum Road,Raj Nagar,5,5291,5126,5291,0,0,0,0,0
Indore,Rajmohalla,Malhargunj,6,6467,5677,6467,1,1,0,0,1
Indore,Kila Maidan,Janta Colony,7,2921,2821,2921,0,0,3,3,3
Indore,Kila Maidan,Juna Risala,8,4477,3768,4477,0,0,0,0,0
Indore,Kila Maidan,Vrindavan,9,3110,3009,3110,0,0,0,0,0
Indore,Maharana Pratap Sangam Nagar,Banganga,10,3769,3645,3769,2,2,1,1,3
Indore,Maharana Pratap Sangam Nagar,Bhagiratpura,11,4161,3990,4161,1,1,0,0,1
Indore,Maharana Pratap Sangam Nagar,Govind Colony,12,6710,6508,6710,0,0,0,0,0
Indore,Maharana Pratap Sangam Nagar,Sangam Nagar,13,6039,5507,6039,0,0,1,1,1
Indore,Aerodrum Road,Ashok Nagar,14,5925,5745,5925,1,1,0,0,1
Indore,Aerodrum Road,Bijasan,15,9730,9402,9730,3,3,0,0,3
Indore,Kila Maidan,Nandbag,16,6149,6017,6149,0,0,0,0,0
Indore,Maharana Pratap Sangam Nagar,Kushwa Nagar,17,4539,4407,4539,0,0,0,0,0
Indore,Narval Zone,Santkabir,18,6501,5350,6501,3,3,2,2,5
Indore,Narval Zone,Vishvkarma,19,5086,3831,5086,2,2,4,4,6
Indore,Narval Zone,Gori Nagar,20,7101,6722,7101,0,0,0,0,0
Indore,Sukhliya,Shyam Nagar,21,7324,7117,7324,0,0,1,1,1
Indore,Sukhliya,Pandit Deen Dayal Upadhyay,22,5381,5147,5381,1,1,0,0,1
Indore,Narval Zone,Swargi Rajesh Joshi,23,4507,3998,4507,0,0,1,1,1
Indore,Subhash Nagar,Sant Balaji Nath Maharaj,24,3727,3536,3727,0,0,0,0,0
Indore,Subhash Nagar,Shree Ganesh,25,4218,3987,4218,1,1,0,0,1
Indore,Subhash Nagar,Jeend Mata,26,3389,3240,3389,0,0,0,0,0
