City Name,Month -Year,Monthly mean/average concentration - PM2.5,Monthly mean concentration - PM10,Monthly mean concentration - NO2,Monthly mean concentration - SO2,Monthly mean concentration - O3,No of AQM Sensors / Environmental sensors deployed
INDORE ,18-Dec,34.6,94.5,20.73,10.9,34.06,The monitoring is done manually 
INDORE ,18-Nov,37.25,76.66,21.52,10.85,32.72,The monitoring is done manually 
INDORE ,18-Oct,44.28,67.03,20.53,10.59,32.96,The monitoring is done manually 
INDORE ,18-Sep,,48.53,19.82,10.73,26.79,The monitoring is done manually 
INDORE ,18-Aug,,48.15,19.71,10.53,24.64,The monitoring is done manually 
INDORE ,18-Jul,33.7,68.96,20.46,10.57,28.1,The monitoring is done manually 
INDORE ,18-Jun,29.81,82.78,20.74,10.72,33.21,The monitoring is done manually 
INDORE ,18-May,48.07,93.72,20.95,10.93,37.55,The monitoring is done manually 
INDORE ,18-Apr,49.33,96.0,20.93,10.87,37.13,The monitoring is done manually 
INDORE ,18-Mar,49.19,89.03,20.74,10.78,36.73,The monitoring is done manually 
INDORE ,18-Feb,48.16,86.74,20.74,10.83,30.47,The monitoring is done manually 
INDORE ,18-Jan,49.83,96.62,21.0,11.11,33.59,The monitoring is done manually 
INDORE ,17-Dec,38.43,88.58,18.77,9.95,15.71,The monitoring is done manually 
INDORE ,17-Nov,40.02,90.1,25.72,12.9,16.46,The monitoring is done manually 
INDORE ,17-Oct,37.05,86.87,17.63,9.37,21.18,The monitoring is done manually 
INDORE ,17-Sep,34.03,34.21,15.02,7.2,9.31,The monitoring is done manually 
INDORE ,17-Aug,30.98,60.85,13.82,6.62,5.26,The monitoring is done manually 
INDORE ,17-Jul,31.2,65.9,16.66,8.36,11.86,The monitoring is done manually 
INDORE ,17-Jun,35.36,79.38,18.43,9.48,18.09,The monitoring is done manually 
INDORE ,17-May,39.29,90.63,20.98,11.48,35.19,The monitoring is done manually 
INDORE ,17-Apr,42.27,91.03,21.4,10.62,36.27,The monitoring is done manually 
INDORE ,17-Mar,42.6,92.61,21.47,11.27,38.87,The monitoring is done manually 
INDORE ,17-Feb,48.71,99.4,21.64,11.22,34.33,The monitoring is done manually 
INDORE ,17-Jan,44.54,94.37,20.96,10.94,27.41,The monitoring is done manually 
