City Name,Zone Name,Ward Name,Ward No.,Total no. of Households
indore,16,Sirpur,1,5430
indore,15,Chandan Nagar,2,2783
indore,16,Kalani Nagar,3,3660
indore,1,Sukhdev Nagar,4,6337
indore,16,Raj Nagar,5,5333
indore,2,Malhargunj,6,5891
indore,1,Janta Colony,7,3166
indore,1,Juna Risala,8,4214
indore,1,Vrindavan,9,3427
indore,4,Banganga,10,3867
indore,4,Bhagiratpura,11,4132
indore,4,Govind Colony,12,6735
indore,4,Sangam Nagar,13,5799
indore,16,Ashok Nagar,14,6079
indore,16,Bijasan,15,9858
indore,1,Nandbag,16,6541
indore,4,Kushwa Nagar,17,4587
indore,17,Santkabir,18,5698
indore,17,Vishvkarma,19,4139
indore,17,Gori Nagar,20,7002
indore,5,Shyam Nagar,21,7674
indore,5,Pandit Deen Dayal Upadhyay,22,5575
indore,17,Swargi Rajesh Joshi,23,4257
indore,6,Sant Balaji Nath Maharaj,24,3791
indore,6,Shree Ganesh,25,4179
indore,6,Jeend Mata,26,3422
indore,6,Pashupati Nath,27,3848
indore,5,Ma Tulaja Bhawani,28,4738
indore,7,Dr. Shyama Prasad Mukharji,29,6009
indore,8,Sant Ravi Das,30,3824
indore,7,Maharaja Chatrasal,31,10133
indore,7,Atal Bihari Wajpai,32,5168
indore,5,Sukhliya,33,6850
indore,7,Sahid Bhagat Singh,34,8028
indore,8,Lasudiya Mori,35,6574
indore,8,Nipaniya,36,15728
indore,8,Sai Kirpa,37,5148
indore,10,Haji Colony,38,3761
indore,10,Naharshawali,39,5425
indore,10,Khajrana Ganesh,40,7409
indore,19,Kelash Puri,41,7109
indore,10,Suwami Vivekanand,42,5747
indore,10,Shree Nagar,43,7684
indore,9,H.I.G,44,5339
indore,9,Dr. Bhimrao Ambedkar,45,3565
indore,9,Somnath,46,3769
indore,9,Sardar Wallabh bhai,47,6240
indore,11,Geeta Bhawan,48,7144
indore,11,Tilak Nagar,49,6921
indore,19,Brajeshwari,50,11883
indore,18,Bhagwati Nagar,51,3968
indore,18,Musakhedi,52,4281
indore,18,Dr. Molana Ajad Nagar,53,6831
indore,11,Residence,54,4201
indore,11,South Tukuganj,55,5495
indore,3,Shanelatagunj,56,4307
indore,3,Devi Ahilyabai,57,5316
indore,3,Imli Bazar,58,4205
indore,12,Harsaddi,59,3929
indore,11,Ranipura,60,3902
indore,12,Tatiya Sarwate,61,2788
indore,12,Rauji Bazar,62,3143
indore,18,Nolakhkha,63,5323
indore,18,Chitawad,64,6061
indore,12,Sant Kawar ram,65,6768
indore,12,Sahid Hemu Kalani,66,6696
indore,2,Maharaja Holkar,67,3574
indore,2,Bambai Bazar,68,2002
indore,2,Jawahar Marg,69,6288
indore,2,Loknayak Nagar,70,4025
indore,15,Dravind Nagar,71,4451
indore,15,Lokmaniya Nagar,72,5798
indore,15,Lakshman Singh Choun,73,3914
indore,13,Vishnupuri,74,7752
indore,19,Palda,75,3810
indore,19,Mundla Nayta,76,7793
indore,13,Bilawali,77,6319
indore,13,Chohitram,78,12746
indore,14,Sukh Niwas,79,9036
indore,13,Dr. Rajendra Prasad,80,8786
indore,13,Annpurna,81,10219
indore,14,Sudama Nagar,82,5164
indore,15,Gumasta Nagar,83,6987
indore,14,Duwarkapuri,84,4589
indore,14,Prajapat Nagar,85,4220
